idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
29,1,1,1,1,0.987,0.987,0.823,1,1,0.9995,0.821,0.644,1,1,1,1,1,1,0.694,1,1,1,1,0.694,1,1,0.999,1,0.72,0.72,1,1,1,1,0.9045,0.9045
30,1,1,1,1,0.469,0.469,0.877,1,1,0.998,0.705,0.58,1,0.82,1,0.9385,1,0.82,0.908,0.6045,1,0.7085,1,0.571,1,0.984,1,0.98,0.424,0.3955,1,1,1,1,0.6075,0.6075
31,1,1,1,1,0.9115,0.9115,0.529,1,1,1,0.9885,0.5175,1,0.8135,1,0.9795,1,0.8135,0.855,0.7965,1,0.943,1,0.733,1,0.9705,1,1,0.685,0.656,1,0.8625,1,0.9905,0.8545,0.717
32,1,1,1,0.174,1,0.174,0.3395,1,1,1,1,0.3395,1,1,1,1,1,1,0.554,1,1,1,1,0.554,1,0.4395,1,1,1,0.4395,1,0.7225,1,0.993,0.994,0.7165
33,1,1,1,1,0.992,0.992,0.7665,1,1,1,0.931,0.6975,1,0.7665,1,1,1,0.7665,0.884,0.6305,1,0.99,1,0.623,1,0.9825,1,1,0.9975,0.98,1,1,1,1,0.9845,0.9845
34,1,1,1,1,0.742,0.742,0.8635,1,1,1,0.995,0.8585,1,1,1,1,1,1,0.725,1,1,1,1,0.725,1,0.9835,0.9975,1,0.668,0.6515,1,0.9185,1,1,0.909,0.8275
35,1,1,1,1,1,1,0.442,0.8245,1,0.999,1,0.442,1,1,1,1,1,1,0.5515,1,1,1,1,0.5515,1,1,1,1,0.9805,0.9805,1,1,1,1,1,1
36,1,1,1,1,0.9615,0.9615,0.676,1,1,1,0.966,0.642,1,0.8215,1,1,1,0.8215,0.9005,0.6325,1,0.9865,1,0.628,1,0.9835,0.4285,1,0.0075,0.0075,1,1,0.3475,1,0.141,0.0965
37,1,1,1,1,0.999,0.999,0.3645,1,1,1,0.9935,0.358,1,1,1,1,1,1,0.8585,0.712,1,0.9995,1,0.6815,1,0.972,0.924,1,0.2125,0.2125,1,0.935,0.8345,0.9995,0.5445,0.4715
38,1,1,1,1,0.967,0.967,0.698,1,1,1,0.979,0.677,1,1,1,1,1,1,0.609,1,1,1,1,0.609,1,0.9995,0.9355,1,0.1555,0.155,1,1,0.901,1,0.3735,0.3735
39,1,1,1,1,0.3705,0.3705,0.8525,1,1,0.8765,0.789,0.541,1,1,1,1,1,1,0.898,0.667,1,0.9965,1,0.6555,1,0.984,0.7625,1,0.038,0.0225,1,1,0.7885,1,0.4215,0.4215
40,1,1,1,1,0.999,0.999,0.5415,1,1,1,0.999,0.5405,1,1,1,1,1,1,0.7925,1,1,0.913,0.995,0.787,1,1,1,1,0.552,0.552,1,1,1,1,0.9995,0.9995
41,1,1,1,1,1,1,0.3675,1,1,1,0.9995,0.367,1,0.8165,1,0.971,1,0.8165,0.8915,0.601,1,0.91,1,0.598,1,0.941,1,1,0.994,0.935,1,1,1,1,0.7385,0.7385
42,1,1,1,1,1,1,0.3935,1,1,1,1,0.3935,1,0.666,1,0.9615,1,0.666,0.815,0.77,1,0.979,1,0.7065,1,0.5065,1,1,0.6945,0.4595,1,0.9145,1,1,1,0.9145
43,1,1,1,1,0.9355,0.9355,0.4645,1,1,1,0.9675,0.432,1,1,1,1,1,1,0.875,0.9655,1,1,1,0.867,1,0.974,1,1,0.1895,0.183,1,1,0.6915,1,0.555,0.5045
44,1,1,1,1,0.9245,0.9245,0.5585,1,1,1,0.9335,0.492,1,1,1,1,1,1,0.872,0.975,1,1,1,0.866,1,0.9815,0.916,1,0.0025,0.0025,1,1,0.999,1,0.619,0.619
45,1,1,1,1,1,1,0.771,0.75,1,0.945,1,0.6825,1,0.663,1,1,1,0.663,0.8805,0.529,1,0.66,1,0.5025,1,0.742,1,0.999,0.613,0.3615,1,0.818,1,1,1,0.818
46,1,1,1,1,0.943,0.943,0.755,0.8445,1,0.948,1,0.663,1,1,1,0.975,1,0.975,0.8255,0.72,1,0.948,1,0.682,1,0.9995,0.925,1,0.515,0.5145,1,0.679,1,0.6405,1,0.6155
47,1,1,1,1,0.9965,0.9965,0.806,0.075,1,0.394,0.9965,0.0595,1,0.6495,1,0.7025,1,0.646,0.875,0.5245,1,0.548,1,0.4635,1,0.997,0.932,1,0.298,0.295,1,0.777,1,0.695,0.9845,0.6735
48,1,1,1,1,0.8945,0.8945,0.415,1,1,1,0.962,0.377,1,0.82,1,1,1,0.82,0.8945,0.601,1,0.986,1,0.5985,1,0.886,0.309,1,0.255,0.2455,1,1,1,1,0.775,0.775
49,1,1,1,1,1,1,0.485,1,1,1,1,0.485,1,1,1,1,1,1,0.7485,0.9885,1,1,1,0.7475,1,1,1,1,0.9455,0.9455,1,1,1,1,1,1
50,1,1,1,1,0.7965,0.7965,0.482,1,1,0.9985,0.933,0.415,1,1,1,1,1,1,0.718,0.9215,1,0.6835,1,0.602,1,0.6315,0.9925,1,0.6805,0.5015,1,0.9335,0.762,0.8445,0.43,0.254
51,1,1,1,1,0.9995,0.9995,0.558,1,1,1,1,0.558,1,1,1,1,1,1,0.834,0.917,1,0.6525,1,0.5895,1,0.978,0.996,1,0.243,0.226,1,0.9335,0.8075,0.9665,0.614,0.5375
52,1,1,1,1,0.9995,0.9995,0.5235,1,1,1,1,0.5235,1,1,1,1,1,1,0.91,0.945,1,1,1,0.8835,1,0.62,1,1,0.9045,0.5245,1,1,1,1,1,1
53,1,1,1,1,1,1,0.5115,1,1,1,1,0.5115,1,0.6495,1,0.987,1,0.6495,0.78,0.8055,1,0.9745,1,0.7095,1,0.44,0.936,1,0.8215,0.44,1,1,0.9675,1,0.6015,0.5855
54,1,1,1,1,0.987,0.987,0.799,1,1,1,0.9795,0.7785,1,1,1,1,1,1,0.6265,1,1,1,1,0.6265,1,0.9805,1,1,0.153,0.153,1,1,0.997,1,0.8135,0.8135
55,1,1,1,1,0.999,0.999,0.475,1,1,1,0.993,0.468,1,0.813,1,0.971,1,0.813,0.8915,0.6495,1,0.7735,1,0.6235,1,0.849,1,1,0.835,0.6905,1,1,1,1,0.787,0.787
56,1,1,1,1,1,1,0.8305,1,1,1,1,0.8305,1,1,1,1,1,1,0.641,1,1,1,1,0.641,1,1,0.8905,1,0.8445,0.841,1,1,1,1,0.9895,0.9895
57,1,1,1,1,0.919,0.919,0.575,1,1,1,0.9055,0.4805,1,1,1,1,1,1,0.8875,0.967,1,1,1,0.8795,1,0.978,0.9995,1,0.9275,0.9055,1,1,1,1,0.905,0.905
58,1,1,1,1,0.885,0.885,0.4955,1,1,0.999,0.98,0.4755,1,0.816,1,1,1,0.816,0.9145,0.4285,1,0.809,1,0.4285,1,0.961,1,1,0.5065,0.4685,1,0.9265,1,0.988,0.8685,0.794
59,1,1,1,1,1,1,0.734,1,1,1,0.9525,0.6865,1,1,1,1,1,1,0.8845,0.9565,1,1,1,0.87,1,0.9735,1,1,0.798,0.7715,1,0.935,0.5505,0.9615,0.502,0.413
60,1,1,1,1,1,1,0.731,1,1,1,1,0.731,1,1,1,0.973,1,0.973,0.821,0.6965,1,0.96,1,0.6665,1,0.4415,0.5725,1,0.54,0.4415,1,0.3525,0.648,0.396,0.7865,0.3445
61,1,1,1,1,0.999,0.999,0.7385,1,1,0.0015,0.999,0.001,1,1,1,1,1,1,0.8625,0.9735,1,0.7925,0.993,0.7245,1,1,1,1,1,1,1,1,1,1,0.9255,0.9255
62,1,1,1,1,1,1,0.508,1,1,1,1,0.508,1,1,1,1,1,1,0.5805,1,1,1,1,0.5805,1,1,0.9405,1,0.1175,0.1175,1,1,0.9995,0.966,0.985,0.951
63,1,1,1,1,0.9825,0.9825,0.582,1,1,1,1,0.582,1,1,1,1,1,1,0.582,1,1,1,1,0.582,1,0.683,1,1,0.864,0.547,1,0.996,1,1,1,0.996
64,1,1,1,1,0.997,0.997,0.758,1,1,1,0.9975,0.7555,1,1,1,1,1,1,0.8185,0.8055,1,0.9865,1,0.7265,1,0.984,0.9415,1,0.721,0.705,1,0.929,0.998,0.973,0.4215,0.3415
65,1,1,1,1,0.9835,0.9835,0.918,1,1,0.975,0.9795,0.8725,1,0.8195,1,1,1,0.8195,0.8675,0.6875,1,0.9975,1,0.6685,1,0.974,1,0.9995,0.998,0.9715,1,1,1,1,0.9375,0.9375
66,1,1,1,1,0.977,0.977,0.5635,1,1,0.972,0.981,0.5445,1,1,1,1,1,1,0.8465,0.9865,1,1,1,0.845,1,0.9995,0.9125,1,0.4035,0.401,1,0.9335,0.6755,0.959,0.249,0.166
67,1,1,1,1,1,1,0.796,1,1,1,1,0.796,1,1,1,1,1,1,0.8665,0.98,1,1,1,0.8625,1,0.8685,1,1,0.6055,0.506,1,1,0.605,1,0.243,0.223
68,1,1,1,1,0.9995,0.9995,0.5585,1,1,1,0.9995,0.558,1,1,1,1,1,1,0.7335,0.896,1,0.987,1,0.712,1,1,1,1,1,1,1,1,1,1,0.792,0.792
69,1,1,1,1,0.976,0.976,0.697,1,1,1,0.97,0.667,1,0.82,1,0.984,1,0.82,0.9155,0.609,1,0.9865,1,0.6065,1,0.9815,1,1,0.954,0.9355,1,1,1,1,0.675,0.675
70,1,1,1,1,1,1,0.7465,1,1,0.506,1,0.259,1,0.6495,1,0.767,1,0.6495,0.8625,0.603,1,0.902,1,0.601,1,0.7625,0.9945,0.8855,0.3645,0.291,1,0.9305,0.666,0.7475,0.757,0.4425
71,1,1,1,1,0.9995,0.9995,0.3445,1,1,1,0.991,0.3355,1,1,1,1,1,1,0.556,1,1,0.9945,1,0.556,1,1,1,1,0.796,0.796,1,1,1,0.5755,0.9995,0.575
