idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
36,1.00,1.00,1.00,1.00,0.98,0.97,0.64,1.00,1.00,1.00,0.96,0.60,1.00,0.75,1.00,0.98,1.00,0.75,0.64,0.40,1.00,0.78,1.00,0.35,1.00,1.00,0.14,1.00,0.01,0.01,1.00,1.00,0.14,1.00,0.66,0.12
37,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,1.00,0.14,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.53,1.00,0.86,1.00,0.38,1.00,1.00,0.65,1.00,0.14,0.14,1.00,1.00,0.82,1.00,0.90,0.77
38,1.00,1.00,1.00,1.00,0.98,0.98,0.70,1.00,1.00,1.00,0.98,0.68,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,0.98,1.00,0.25,1.00,1.00,0.50,1.00,0.14,0.14,1.00,1.00,0.88,1.00,0.86,0.77
39,1.00,1.00,1.00,1.00,0.82,0.82,0.85,1.00,1.00,0.88,0.95,0.71,1.00,1.00,1.00,1.00,1.00,1.00,0.62,0.50,1.00,0.82,1.00,0.40,1.00,1.00,0.59,1.00,0.07,0.07,1.00,1.00,0.79,0.99,0.87,0.75
40,1.00,1.00,1.00,1.00,1.00,1.00,0.39,1.00,1.00,1.00,1.00,0.39,1.00,1.00,1.00,1.00,1.00,1.00,0.68,1.00,1.00,0.83,1.00,0.67,1.00,1.00,1.00,1.00,0.58,0.58,1.00,1.00,1.00,1.00,1.00,1.00
41,1.00,1.00,1.00,1.00,1.00,1.00,0.29,1.00,1.00,1.00,0.99,0.29,1.00,0.75,1.00,0.94,1.00,0.75,0.63,0.34,1.00,0.68,1.00,0.29,1.00,1.00,0.88,1.00,0.88,0.85,1.00,1.00,1.00,0.96,0.98,0.94
42,1.00,1.00,1.00,1.00,1.00,1.00,0.22,1.00,1.00,1.00,1.00,0.21,1.00,0.58,1.00,0.95,1.00,0.58,0.40,0.73,1.00,0.90,1.00,0.38,1.00,1.00,1.00,0.98,0.59,0.59,1.00,0.96,1.00,0.96,0.99,0.94
43,1.00,1.00,1.00,1.00,0.98,0.98,0.43,1.00,1.00,1.00,0.98,0.41,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.95,1.00,0.95,1.00,0.71,1.00,1.00,1.00,1.00,0.37,0.37,1.00,1.00,0.76,1.00,0.92,0.73
44,1.00,1.00,1.00,1.00,0.98,0.98,0.40,1.00,1.00,1.00,0.98,0.38,1.00,1.00,1.00,1.00,1.00,1.00,0.74,0.95,1.00,0.95,1.00,0.74,1.00,1.00,0.63,1.00,0.28,0.28,1.00,1.00,0.98,0.99,0.90,0.89
45,1.00,1.00,1.00,1.00,0.99,0.99,0.77,0.98,1.00,0.94,0.99,0.70,1.00,0.58,1.00,0.98,1.00,0.58,0.65,0.23,1.00,0.42,1.00,0.20,1.00,0.94,1.00,0.98,0.48,0.42,1.00,0.94,1.00,0.97,1.00,0.93
46,1.00,1.00,1.00,1.00,1.00,1.00,0.53,0.47,1.00,0.76,1.00,0.29,1.00,1.00,1.00,0.81,1.00,0.81,0.40,0.42,1.00,0.67,1.00,0.32,1.00,1.00,0.84,1.00,0.36,0.36,1.00,0.45,1.00,0.35,1.00,0.35
47,0.98,1.00,1.00,1.00,1.00,0.98,0.61,0.06,1.00,0.27,1.00,0.02,1.00,0.44,1.00,0.51,1.00,0.44,0.56,0.22,1.00,0.25,1.00,0.17,1.00,1.00,0.83,1.00,0.29,0.29,1.00,0.54,1.00,0.40,0.99,0.39
